id,name,pop,lat,lon
141,Alwar,275700,27.56,76.6
142,Parbhani,274600,19.27,76.76
143,Gajuvaka,274300,,
144,Ichalkaranji,272900,16.69,74.46
145,Hisar,272100,29.16,75.72
146,Baranagar,265500,22.64,88.37
147,Tumkur,263400,13.34,77.1
148,Bijapur,260600,16.83,75.71
149,Jalna,249500,19.85,75.88
150,Ramagundam,249500,18.8,79.45
151,Sagar,246100,23.85,78.75
152,Bihar,245800,25.21,85.52
153,Barasat,245300,22.72,88.48
154,Durg,244900,21.2,81.28
155,Avadi,244600,13.12,80.11
156,Dewas,244400,22.97,76.05
157,Aizawl,243400,23.71,92.71
158,Farrukhabad,241400,27.4,79.57
159,Tirupati,241200,13.63,79.41
160,Qutubullapur,239200,17.43,78.47
161,Satna,238900,24.58,80.83
162,Raurkela,238000,22.24,84.81
163,Ratlam,234400,23.35,75.03
164,Anantapur,234100,14.7,77.59
165,Pondicherry,233900,11.94,79.83
166,North dum dum,233100,22.64,88.41
167,Ozhukarai,230600,11.94,79.77
168,Bathinda,230300,30.17,74.97
169,Imphal,230200,24.79,93.94
170,Sonipat,229100,28.99,77.01
171,Thuthukkudi,228900,8.81,78.14
172,Thanjavur,228500,10.79,79.13
173,Naihati,228200,22.91,88.43
174,Hapur,224600,28.73,77.77
175,Tiruvottiyur,224400,13.16,80.29
176,Etawah,224000,26.78,79.01
177,Ganganagar,223300,29.93,73.86
178,Karnal,223000,29.69,76.97
179,Mau,222600,25.96,83.56
180,Nagercoil,220500,8.18,77.43
181,Kharagpur,220300,22.34,87.31
182,Raurkela civil township,218800,22.25,84.86
183,Raichur,217900,16.21,77.35
184,Mirzapur,217500,25.16,82.56
185,Bharatpur,216600,27.23,77.49
186,Sikandarabad,216300,17.47,78.52
187,Ambarnath,215900,19.2,73.17
188,Karimnagar,215900,18.45,79.13
189,Ara,215500,25.56,84.66
190,Ulubaria,214100,22.47,88.11
191,Bommanahalli,213200,13.01,77.63
192,Dhanbad,210800,23.8,86.42
193,Shrirampur,209700,22.74,88.35
194,Dindigul,208300,10.36,77.97
195,Gandhinagar,207500,23.3,72.63
196,Burhanpur,205900,21.33,76.22
197,Nadiad,204300,22.7,72.85
198,Eluru,201100,16.72,81.11
199,Yamunanagar,200900,30.14,77.28
200,Agartala,200600,23.84,91.27
201,Pali,198700,25.79,73.32
202,Krishnarajapura,198600,12.97,77.74
203,Munger,198400,25.39,86.47
204,Murwara,197800,23.85,80.39
205,Singrauli,196600,23.84,82.27
206,Sikar,195900,27.61,75.13
207,Nalasopara,195600,19.43,72.78
208,Machilipatnam,194300,16.19,81.14
209,Rewa,194100,24.53,81.29
210,Sambhal,193800,28.59,78.56
